широта;довгота;станція метро
50.4647;30.3553;Академмістечко
50.4561;30.3667;Житомирська
50.4578;30.3886;Святошин
50.4586;30.4047;Нивки
50.4583;30.4208;Берестейська
50.4550;30.4453;Шулявська
50.4508;30.4661;Політехнічний інститут
50.4417;30.4881;Вокзальна
50.4442;30.5058;Університет
50.4453;30.5183;Театральна
50.4472;30.5233;Хрещатик
50.4444;30.5453;Арсенальна
50.4411;30.5591;Дніпро
50.4458;30.5767;Гідропарк
50.4517;30.5983;Лівобережна
50.4556;30.6131;Дарниця
50.4597;30.6308;Чернігівська
50.4646;30.6456;Лісова
