region;tik;tikId;uik;address;center;city;lat;lon;distance;voters;totalVotes;Poroshenko;Zelenskiy;Tymoshenko
м.Київ;ТВО №211;211;ВД № 800066;просп.Голосіївський, 36, м.Київ, 03039;;;50.40477512;30.51540364;99.00044440521808;2534;1508;344;521;158
м.Київ;ТВО №223;223;ВД № 801049;просп.Перемоги, 86, м.Київ, 03062;;;50.4592526;30.40335417;119.76017384695565;2518;1760;473;439;218
м.Київ;ТВО №223;223;ВД № 800968;вул.Пирогова, 9, м.Київ, 01030;;;50.44516196;30.50661649;121.59094198551529;1107;776;241;128;112
м.Київ;ТВО №223;223;ВД № 801048;просп.Перемоги, 86, м.Київ, 03062;;;50.45919796;30.40300012;137.4825944186447;1823;1128;244;357;145
м.Київ;ТВО №211;211;ВД № 800077;вул.Велика Васильківська, 78, м.Київ, 03150;;;50.43114369;30.51471144;146.20979726579915;2188;1449;411;295;207
м.Київ;ТВО №221;221;ВД № 800964;вул.Пушкінська, 22, м.Київ, 01004;;;50.44411773;30.51736146;147.3067435602341;968;623;199;93;98
м.Київ;ТВО №223;223;ВД № 801050;вул.Пушкінська, 22А, м.Київ, 01004;;;50.44416897;30.51688671;160.72420468359732;34;33;5;8;5
м.Київ;ТВО №211;211;ВД № 800041;просп.Академіка Глушкова, 2А, м.Київ, 03127;;;50.38229496;30.47521591;163.54974510012647;2178;1527;437;405;105
м.Київ;ТВО №223;223;ВД № 801004;вул.Політехнічна, 3А, м.Київ, 03055;;;50.44962095;30.46751261;164.89965534670273;2099;1359;406;279;186
м.Київ;ТВО №221;221;ВД № 800963;вул.Прорізна, 19А, м.Київ, 01034;;;50.44771829;30.51680088;202.15175397750076;2138;1381;477;288;161
м.Київ;ТВО №222;222;ВД № 800898;вул.Політехнічна, 6, м.Київ, 03055;;;50.44901805;30.46535343;205.0737645927759;1658;1163;320;375;71
м.Київ;ТВО №221;221;ВД № 800590;вул.Московська, 3, м.Київ, 01010;;;50.44237629;30.5451975;225.14362744050658;2162;1505;488;267;205
м.Київ;ТВО №223;223;ВД № 801001;вул.Шулявська, 10/12, м.Київ, 03055;;;50.45206624;30.46874636;234.37284629879724;2206;1506;489;291;207
м.Київ;ТВО №221;221;ВД № 800586;вул.Лютеранська, 10, м.Київ, 01024;;;50.44505718;30.52409649;244.8549267045621;1951;1234;403;203;161
м.Київ;ТВО №223;223;ВД № 800989;вул.Коперніка, 8, м.Київ, 04116;;;50.4601115;30.48301309;250.14162108036072;2406;1595;450;407;184
м.Київ;ТВО №211;211;ВД № 800079;вул.Антоновича, 130, м.Київ, 03150;;;50.41983239;30.51755726;253.68803422449915;2112;1412;430;285;185
м.Київ;ТВО №211;211;ВД № 800078;вул.Антоновича, 130, м.Київ, 03150;;;50.41989818;30.51751032;253.7242117882317;2179;1515;429;278;215
м.Київ;ТВО №223;223;ВД № 801000;вул.Шулявська, 10/12, м.Київ, 03055;;;50.45182069;30.46933651;255.71687667120273;2431;1678;511;384;230
